"filenum","coreid","institutionCode","collectionCode","ownerInstitutionCode","collectionID","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","lifeStage","sex","individualCount","preparations","country","stateProvince","county","municipality","locality","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","rights","rightsHolder","accessRights","recordId","references"
14,6763299,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","56cd503f-f6c1-4a3d-9429-a238ee7bd159","GMUF-0000592","","Plantae","Magnoliophyta","","Fagales","Betulaceae","Alnus serrulata",71602,"(Aiton) Willd.","Alnus","serrulata","","","","",NA,"","",NA,NA,"Gary P. Fleming, Allen Belden","11740","1996-06-12",1996,6,12,164,NA,"12 June 1996","","On hummocks under bald cypress and tupelo along north shore of the Northwest River; Frequent",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Chesapeake City","","Along north shore of the Northwest River, ca. 1.0 mile NW of Northwest.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","2017-09-28 14:51:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:56cd503f-f6c1-4a3d-9429-a238ee7bd159","http://www.sernecportal.org/portal/collections/individual/index.php?occid=6763299"
14,6763300,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","a41e5e63-0374-4fa4-aa02-b817703d1407","GMUF-0000591","","Plantae","Magnoliophyta","","Fagales","Betulaceae","Alnus serrulata",71602,"(Aiton) Willd.","Alnus","serrulata","","","","",NA,"","",NA,NA,"Cliff Hupp","98","1972-08-20",1972,8,20,233,NA,"20 August 1972","","Streamside",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Frederick","","Pembrook Springs",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","2017-09-28 14:51:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:a41e5e63-0374-4fa4-aa02-b817703d1407","http://www.sernecportal.org/portal/collections/individual/index.php?occid=6763300"
14,6763352,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","1c5f7085-fe91-484d-a096-06afce2beb57","GMUF-0000677","","Plantae","Magnoliophyta","","Fagales","Betulaceae","Betula pendula",74637,"Roth","Betula","pendula","","","","",NA,"","",NA,NA,"Ted Bradley","11691C","1977-03-18",1977,3,18,77,NA,"18 March 1977","","Roadside.",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Fairfax","","S. side of Va. 123 between Potomac School Rd. and Ballantrae Lane. Most western, road entrance.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","2017-11-14 14:36:22","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:1c5f7085-fe91-484d-a096-06afce2beb57","http://www.sernecportal.org/portal/collections/individual/index.php?occid=6763352"
14,6763375,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","02ebf5fd-03aa-4e29-9ec5-e322f5d54ab9","GMUF-0000654","","Plantae","Magnoliophyta","","Fagales","Betulaceae","Betula nigra",74633,"L.","Betula","nigra","","","","",NA,"","",NA,NA,"Ted Bradley, Andrykovitch","18227","1982-07-05",1982,7,5,186,NA,"5 July 1982","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Madison","","Near jct. of U.S. 29 and Rte. 636 at the Robinson River.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","2017-11-14 14:36:22","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:02ebf5fd-03aa-4e29-9ec5-e322f5d54ab9","http://www.sernecportal.org/portal/collections/individual/index.php?occid=6763375"
14,6763419,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","ac299619-35ac-4d7a-a0ff-fd5af0eeaf3d","GMUF-0001343","17050","Plantae","Magnoliophyta","","Rosales","Moraceae","Broussonetia papyrifera",34605,"(L.) L'Hér. ex Vent.","Broussonetia","papyrifera","","","","",NA,"","",NA,NA,"Ted Bradley","19838","1983-08-11",1983,8,11,223,NA,"","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Accomack","","In Onancock",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","2017-06-02 18:00:36","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:ac299619-35ac-4d7a-a0ff-fd5af0eeaf3d","http://www.sernecportal.org/portal/collections/individual/index.php?occid=6763419"
14,6763478,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","c9d34663-d1e9-4480-9e58-c7442246ab21","GMUF-0027246","","Plantae","Magnoliophyta","","Fagales","Juglandaceae","Carya alba",57046,"Nutt.","Carya","alba","","","","",NA,"","",NA,NA,"Ted Bradley, Ian Ward","23782","1990-07-07",1990,7,7,188,NA,"7 July 1990","","roadside. Fruit separate.",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Westmoreland","","2 mi. ne. of rte. 626 on rte. 612, se. of Hague.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","2017-09-28 14:51:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:c9d34663-d1e9-4480-9e58-c7442246ab21","http://www.sernecportal.org/portal/collections/individual/index.php?occid=6763478"
14,6763507,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","309dff6e-0559-4557-9c7f-6a0e5770a252","GMUF-0000581","","Plantae","Magnoliophyta","","Fagales","Juglandaceae","Carya pallida",76902,"(Ashe) Engl. & Graebn.","Carya","pallida","","","","",NA,"","",NA,NA,"Sharon Reilly","","1986-10-15",1986,10,15,288,NA,"15 October 1986","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Charlotte","","Near Little Roanoke Creek, off rte. 637, about 2 mi. sw. of Drakes Branch",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","2017-09-28 14:51:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:309dff6e-0559-4557-9c7f-6a0e5770a252","http://www.sernecportal.org/portal/collections/individual/index.php?occid=6763507"
14,6763527,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","51ca7837-ff32-4e00-ac65-2411dfb006e6","GMUF-0000561","","Plantae","Magnoliophyta","","Fagales","Juglandaceae","Carya ovata",47155,"(Mill.) K. Koch","Carya","ovata","","","","",NA,"","",NA,NA,"Ted Bradley with Horn","14736","1978-08-17",1978,8,17,229,NA,"17 August 1978","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Frederick","","Roadside, rte. 734 n. of rte. 694 along North Fork Sleepy Creek.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","2017-09-28 14:51:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:51ca7837-ff32-4e00-ac65-2411dfb006e6","http://www.sernecportal.org/portal/collections/individual/index.php?occid=6763527"
14,6763536,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","df1afa51-927e-4232-81c6-fc7fd85f6d7c","GMUF-0000552","","Plantae","Magnoliophyta","","Fagales","Juglandaceae","Carya ovata",47155,"(Mill.) K. Koch","Carya","ovata","","","","",NA,"","",NA,NA,"Ted Bradley with Horn.","14736","1978-08-17",1978,8,17,229,NA,"17 August 1978","","Roadside. Fruit separate",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Frederick","","rte. 734 n. of rte. 694 along North Fork sleepy Creek.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","2017-09-28 14:51:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:df1afa51-927e-4232-81c6-fc7fd85f6d7c","http://www.sernecportal.org/portal/collections/individual/index.php?occid=6763536"
14,6763539,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","9eba2a20-7a15-449c-8070-a594c61aa7ae","GMUF-0000549","","Plantae","Magnoliophyta","","Fagales","Juglandaceae","Carya ovata",47155,"(Mill.) K. Koch","Carya","ovata","","","","",NA,"","",NA,NA,"Gary P. Fleming","13356","1997-06-20",1997,6,20,171,NA,"20 June 1997","","Oak-hickory forest on diabasic upland; elev. 270 ft. Common. Note: a very pubescent form, bark characteristically """"shaggy"""" in large plates.",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Cumberland","","Cumberland State Forest. just west of Willis River Forest Road, just north of the Willis River, and 3.0 miles SW of Trents Mill.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","2017-09-28 14:51:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:9eba2a20-7a15-449c-8070-a594c61aa7ae","http://www.sernecportal.org/portal/collections/individual/index.php?occid=6763539"
