id,hostname,planet_letter,planet_name,discovery_method,orbital_period,planet_jupiter_mass
1,11 Com,b,11 Com b,Radial Velocity,326.03,19.4
2,11 UMi,b,11 UMi b,Radial Velocity,516.21997,14.74
3,14 And,b,14 And b,Radial Velocity,185.84,4.8
4,14 Her,b,14 Her b,Radial Velocity,1773.40002,4.66
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,798.5,1.78
6,18 Del,b,18 Del b,Radial Velocity,993.3,10.3
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,,8
8,24 Boo,b,24 Boo b,Radial Velocity,30.3506,0.91
9,24 Sex,b,24 Sex b,Radial Velocity,452.8,1.99
10,24 Sex,c,24 Sex c,Radial Velocity,883,0.86
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,,24.5
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,,13.9
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,,7.5
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,,4
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,416,1.9
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,7336.5,20.95
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,,12.5
18,30 Ari B,b,30 Ari B b,Radial Velocity,335.10001,13.82
19,4 UMa,b,4 UMa b,Radial Velocity,269.3,7.1
20,42 Dra,b,42 Dra b,Radial Velocity,479.1,3.88
21,47 UMa,b,47 UMa b,Radial Velocity,1078,2.53
22,47 UMa,c,47 UMa c,Radial Velocity,2391,0.54
23,47 UMa,d,47 UMa d,Radial Velocity,14002,1.64
24,51 Eri,b,51 Eri b,Imaging,11688,
25,51 Peg,b,51 Peg b,Radial Velocity,4.230785,0.472
26,55 Cnc,b,55 Cnc b,Radial Velocity,14.65152,0.8306
27,55 Cnc,c,55 Cnc c,Radial Velocity,44.4175,0.1714
28,55 Cnc,d,55 Cnc d,Radial Velocity,4825,3.878
29,55 Cnc,e,55 Cnc e,Radial Velocity,0.736539,0.02542
30,55 Cnc,f,55 Cnc f,Radial Velocity,262,0.141
31,6 Lyn,b,6 Lyn b,Radial Velocity,934.3,2.01
32,61 Vir,b,61 Vir b,Radial Velocity,4.215,0.016
33,61 Vir,c,61 Vir c,Radial Velocity,38.021,0.057
34,61 Vir,d,61 Vir d,Radial Velocity,123.01,0.072
35,7 CMa,b,7 CMa b,Radial Velocity,796,2.46
36,70 Vir,b,70 Vir b,Radial Velocity,116.688,7.416
37,75 Cet,b,75 Cet b,Radial Velocity,691.9,3
38,8 UMi,b,8 UMi b,Radial Velocity,93.4,1.31
39,81 Cet,b,81 Cet b,Radial Velocity,952.7,5.3
40,91 Aqr,b,91 Aqr b,Radial Velocity,181.4,3.2
41,AB Pic,b,AB Pic b,Imaging,,13.5
42,BD+03 2562,b,BD+03 2562 b,Radial Velocity,481.9,6.4
43,BD+14 4559,b,BD+14 4559 b,Radial Velocity,268.94,1.04
44,BD+15 2375,b,BD+15 2375 b,Radial Velocity,153.22,1.061
45,BD+15 2940,b,BD+15 2940 b,Radial Velocity,137.48,1.11
46,BD+20 2457,b,BD+20 2457 b,Radial Velocity,379.63,55.59
47,BD+20 2457,c,BD+20 2457 c,Radial Velocity,621.99,12.47
48,BD+20 274,b,BD+20 274 b,Radial Velocity,578.2,4.2
49,BD+20 594,b,BD+20 594 b,Transit,41.6855,0.07
50,BD+48 738,b,BD+48 738 b,Radial Velocity,392.6,0.91
51,BD+48 740,b,BD+48 740 b,Radial Velocity,733,1.7
52,BD+49 828,b,BD+49 828 b,Radial Velocity,2590,1.6
53,BD-06 1339,b,BD-06 1339 b,Radial Velocity,3.8728,0.027
54,BD-06 1339,c,BD-06 1339 c,Radial Velocity,125.94,0.17
55,BD-08 2823,b,BD-08 2823 b,Radial Velocity,5.6,0.04
56,BD-08 2823,c,BD-08 2823 c,Radial Velocity,237.6,0.33
57,BD-10 3166,b,BD-10 3166 b,Radial Velocity,3.48777,0.59
58,BD-11 4672,b,BD-11 4672 b,Radial Velocity,1667,0.53
59,BD-13 2130,b,BD-13 2130 b,Radial Velocity,714.29999,9.78
60,BD-17 63,b,BD-17 63 b,Radial Velocity,655.59998,2.85
61,CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,10037.5,10.5
62,CHXR 73,b,CHXR 73 b,Imaging,,12.569
63,CI Tau,b,CI Tau b,Radial Velocity,8.9891,11.6
64,CT Cha,b,CT Cha b,Imaging,,17
