round,n-rock,n-paper,n-scissors,n-opp,n-mix
0,99.0,86.0,105.0,105.0,105.0
100,81.0,125.0,74.0,120.0,100.0
200,62.0,62.0,138.0,137.0,101.0
300,103.0,54.0,76.0,165.0,102.0
400,97.0,82.0,48.0,171.0,102.0
500,65.0,93.0,43.0,185.0,114.0
600,45.0,70.0,67.0,207.0,111.0
700,45.0,71.0,66.0,211.0,107.0
800,48.0,45.0,72.0,222.0,113.0
900,52.0,44.0,65.0,229.0,110.0
1000,46.0,39.0,63.0,252.0,100.0
1100,54.0,46.0,64.0,239.0,97.0
1200,56.0,46.0,51.0,245.0,102.0
1300,52.0,48.0,53.0,245.0,102.0
1400,54.0,53.0,36.0,249.0,108.0
1500,48.0,55.0,42.0,254.0,101.0
1600,46.0,53.0,50.0,255.0,96.0
1700,43.0,48.0,56.0,260.0,93.0
1800,49.0,37.0,49.0,279.0,86.0
1900,42.0,54.0,57.0,258.0,89.0
2000,48.0,53.0,44.0,264.0,91.0
2100,48.0,58.0,46.0,261.0,87.0
2200,39.0,50.0,48.0,275.0,88.0
2300,38.0,53.0,44.0,287.0,78.0
2400,42.0,55.0,51.0,283.0,69.0
2500,47.0,54.0,45.0,278.0,76.0
2600,52.0,54.0,47.0,273.0,74.0
2700,59.0,62.0,47.0,265.0,67.0
2800,57.0,63.0,55.0,264.0,61.0
2900,52.0,55.0,62.0,270.0,61.0
3000,54.0,62.0,43.0,271.0,70.0
3100,59.0,60.0,58.0,258.0,65.0
3200,58.0,57.0,52.0,264.0,69.0
3300,48.0,68.0,60.0,251.0,73.0
3400,56.0,52.0,75.0,249.0,68.0
3500,52.0,69.0,51.0,260.0,68.0
3600,56.0,66.0,52.0,249.0,77.0
3700,50.0,67.0,64.0,241.0,78.0
3800,51.0,50.0,51.0,261.0,87.0
3900,46.0,48.0,53.0,266.0,87.0
4000,48.0,54.0,57.0,259.0,82.0
4100,59.0,45.0,57.0,258.0,81.0
4200,65.0,51.0,55.0,238.0,91.0
4300,52.0,49.0,52.0,242.0,105.0
4400,55.0,40.0,53.0,247.0,105.0
4500,57.0,43.0,59.0,244.0,97.0
4600,48.0,50.0,52.0,250.0,100.0
4700,51.0,48.0,50.0,255.0,96.0
4800,44.0,52.0,44.0,251.0,109.0
4900,54.0,58.0,55.0,230.0,103.0
5000,51.0,49.0,57.0,235.0,108.0
5100,48.0,53.0,65.0,231.0,103.0
5200,59.0,55.0,65.0,219.0,102.0
5300,48.0,52.0,67.0,224.0,109.0
5400,63.0,58.0,68.0,213.0,98.0
5500,63.0,56.0,67.0,194.0,120.0
5600,66.0,59.0,50.0,207.0,118.0
5700,70.0,62.0,56.0,199.0,113.0
5800,63.0,63.0,49.0,208.0,117.0
5900,59.0,70.0,55.0,195.0,121.0
6000,62.0,63.0,68.0,196.0,111.0
6100,62.0,73.0,64.0,184.0,117.0
6200,59.0,74.0,64.0,188.0,115.0
6300,58.0,73.0,64.0,191.0,114.0
6400,57.0,79.0,61.0,185.0,118.0
6500,54.0,74.0,73.0,182.0,117.0
